Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Func_DeleteClass,Chrome 73.0.3683.103,,2019-04-10 14:01:03,2019-04-10 14:02:06,1m - 2.757s,PASSED
,,,,,,
Test Cases/Func_DeleteClass/Validate_ButtonCancel,Chrome 73.0.3683.103,,2019-04-10 14:01:05,2019-04-10 14:01:46,41.095s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-10 14:01:09,2019-04-10 14:01:18,9.224s,PASSED
"navigateToUrl(""https://hoclieu.sachmem.vn/folder/0"")",Chrome 73.0.3683.103,,2019-04-10 14:01:18,2019-04-10 14:01:22,3.814s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-10 14:01:22,2019-04-10 14:01:23,1.040s,PASSED
"click(findTestObject(""Login/Page_Hc liu - Sch Mm/a_ng nhp""))",Chrome 73.0.3683.103,,2019-04-10 14:01:23,2019-04-10 14:01:28,4.758s,PASSED
"setText(findTestObject(""Login/Page_ng nhp  Sch Mm/input_a ch email_useremail""), ""hwngvux98@gmail.com"")",Chrome 73.0.3683.103,,2019-04-10 14:01:28,2019-04-10 14:01:30,1.977s,PASSED
"setEncryptedText(findTestObject(""Login/Page_ng nhp  Sch Mm/input_Mt khu_userpassword""), ""EjEDdN6o7pTQoul/MO4YbQ=="")",Chrome 73.0.3683.103,,2019-04-10 14:01:30,2019-04-10 14:01:31,0.739s,PASSED
"click(findTestObject(""Login/Page_ng nhp  Sch Mm/input_Qun mt khu_commit""))",Chrome 73.0.3683.103,,2019-04-10 14:01:31,2019-04-10 14:01:34,3.747s,PASSED
"click(findTestObject(""Login/Page_Hc liu - Sch Mm/a_Lp hc ca ti""))",Chrome 73.0.3683.103,,2019-04-10 14:01:34,2019-04-10 14:01:36,1.358s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-10 14:01:36,2019-04-10 14:01:39,3.004s,PASSED
"click(findTestObject(""DeleteClass/DeleteClass_DropDown""))",Chrome 73.0.3683.103,,2019-04-10 14:01:39,2019-04-10 14:01:39,0.137s,PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-10 14:01:39,2019-04-10 14:01:41,2.004s,PASSED
"click(findTestObject(""DeleteClass/DeleteClass_Menu""))",Chrome 73.0.3683.103,,2019-04-10 14:01:41,2019-04-10 14:01:41,0.155s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-10 14:01:41,2019-04-10 14:01:42,1.003s,PASSED
"click(findTestObject(""DeleteClass/DeleteClass_Cancel""))",Chrome 73.0.3683.103,,2019-04-10 14:01:42,2019-04-10 14:01:42,0.178s,PASSED
"waitForElementNotVisible(findTestObject(""DeleteClass/Delete_Menu""), 3)",Chrome 73.0.3683.103,,2019-04-10 14:01:42,2019-04-10 14:01:46,3.414s,PASSED
,,,,,,
Test Cases/Func_DeleteClass/Validate_ButtonConfirm,Chrome 73.0.3683.103,,2019-04-10 14:01:46,2019-04-10 14:02:05,19.737s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-10 14:01:46,2019-04-10 14:01:49,3.170s,PASSED
"navigateToUrl(""https://hoclieu.sachmem.vn/folder/0"")",Chrome 73.0.3683.103,,2019-04-10 14:01:49,2019-04-10 14:01:52,2.289s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-10 14:01:52,2019-04-10 14:01:53,1.003s,PASSED
"click(findTestObject(""Login/Page_Hc liu - Sch Mm/a_ng nhp""))",Chrome 73.0.3683.103,,2019-04-10 14:01:53,2019-04-10 14:01:55,2.330s,PASSED
"setText(findTestObject(""Login/Page_ng nhp  Sch Mm/input_a ch email_useremail""), ""hwngvux98@gmail.com"")",Chrome 73.0.3683.103,,2019-04-10 14:01:55,2019-04-10 14:01:55,0.489s,PASSED
"setEncryptedText(findTestObject(""Login/Page_ng nhp  Sch Mm/input_Mt khu_userpassword""), ""EjEDdN6o7pTQoul/MO4YbQ=="")",Chrome 73.0.3683.103,,2019-04-10 14:01:55,2019-04-10 14:01:56,0.449s,PASSED
"click(findTestObject(""Login/Page_ng nhp  Sch Mm/input_Qun mt khu_commit""))",Chrome 73.0.3683.103,,2019-04-10 14:01:56,2019-04-10 14:01:57,1.645s,PASSED
"click(findTestObject(""Login/Page_Hc liu - Sch Mm/a_Lp hc ca ti""))",Chrome 73.0.3683.103,,2019-04-10 14:01:57,2019-04-10 14:01:58,0.873s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-10 14:01:58,2019-04-10 14:02:01,3.004s,PASSED
"click(findTestObject(""DeleteClass/DeleteClass_DropDown""))",Chrome 73.0.3683.103,,2019-04-10 14:02:01,2019-04-10 14:02:01,0.123s,PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-10 14:02:01,2019-04-10 14:02:03,2.004s,PASSED
"click(findTestObject(""DeleteClass/DeleteClass_Menu""))",Chrome 73.0.3683.103,,2019-04-10 14:02:03,2019-04-10 14:02:04,0.110s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-10 14:02:04,2019-04-10 14:02:05,1.004s,PASSED
"click(findTestObject(""DeleteClass/DeleteClass_Confirm""))",Chrome 73.0.3683.103,,2019-04-10 14:02:05,2019-04-10 14:02:05,0.167s,PASSED
"waitForElementVisible(findTestObject(""DeleteClass/Delete_Success""), 3)",Chrome 73.0.3683.103,,2019-04-10 14:02:05,2019-04-10 14:02:05,0.602s,PASSED
